,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
27,22,83,2.0,2.0,1.0,6,94,1.0,1.0,0,2.0,1.0,0.0,1.0,2,0.0,1.0,1.0,0.0,C
28,16,90,1.0,1.0,0.0,4,58,1.0,1.0,1,0.0,1.0,0.0,1.0,3,0.0,0.0,1.0,1.0,D
29,18,66,2.0,2.0,0.0,4,51,0.0,1.0,2,0.0,1.0,1.0,1.0,2,0.0,1.0,0.0,0.0,D
30,16,83,0.0,1.0,0.0,6,57,1.0,1.0,0,2.0,0.0,0.0,2.0,4,1.0,0.0,0.0,1.0,D
31,31,70,1.0,2.0,1.0,7,66,1.0,1.0,1,2.0,1.0,0.0,0.0,3,0.0,1.0,0.0,0.0,D
32,20,69,1.0,1.0,1.0,8,96,1.0,1.0,2,1.0,2.0,0.0,2.0,3,0.0,0.0,0.0,0.0,D
34,25,65,2.0,1.0,0.0,5,90,1.0,1.0,2,1.0,1.0,0.0,2.0,3,0.0,1.0,1.0,1.0,D
35,13,72,0.0,1.0,0.0,6,93,0.0,1.0,1,0.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,D
36,21,65,1.0,0.0,1.0,7,91,0.0,1.0,2,1.0,2.0,0.0,2.0,3,0.0,0.0,2.0,1.0,D
37,8,99,1.0,1.0,0.0,9,54,0.0,1.0,2,0.0,1.0,0.0,1.0,5,0.0,2.0,0.0,1.0,D
38,12,72,0.0,1.0,1.0,8,84,1.0,1.0,1,0.0,1.0,0.0,2.0,5,0.0,0.0,0.0,1.0,D
39,21,65,0.0,1.0,1.0,6,98,0.0,1.0,1,1.0,2.0,0.0,0.0,4,0.0,0.0,0.0,0.0,D
40,24,68,2.0,1.0,0.0,8,56,0.0,1.0,3,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,0.0,D
41,21,84,1.0,1.0,1.0,6,52,0.0,1.0,1,1.0,2.0,0.0,1.0,2,1.0,1.0,2.0,1.0,D
42,19,63,0.0,2.0,0.0,7,94,1.0,1.0,1,1.0,1.0,1.0,2.0,3,0.0,0.0,1.0,0.0,D
43,18,94,1.0,2.0,1.0,7,82,1.0,1.0,3,1.0,1.0,1.0,0.0,2,1.0,1.0,0.0,0.0,C
44,11,98,1.0,1.0,1.0,9,82,0.0,1.0,1,1.0,1.0,1.0,2.0,3,0.0,2.0,2.0,0.0,D
45,16,70,1.0,1.0,1.0,8,98,1.0,1.0,2,1.0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,D
46,17,78,1.0,1.0,1.0,6,88,1.0,1.0,1,1.0,2.0,1.0,2.0,3,0.0,1.0,0.0,1.0,D
47,26,61,1.0,0.0,1.0,6,70,1.0,1.0,2,0.0,1.0,0.0,2.0,3,0.0,0.0,1.0,1.0,D
48,22,86,0.0,1.0,1.0,7,72,0.0,1.0,3,0.0,2.0,0.0,2.0,2,0.0,0.0,1.0,0.0,D
49,9,77,1.0,1.0,0.0,5,57,1.0,1.0,2,1.0,2.0,0.0,1.0,3,0.0,0.0,0.0,0.0,D
50,22,71,0.0,1.0,1.0,7,65,0.0,1.0,1,1.0,0.0,0.0,2.0,4,0.0,1.0,1.0,0.0,D
51,18,68,2.0,1.0,0.0,7,72,1.0,1.0,0,1.0,1.0,0.0,1.0,3,0.0,1.0,0.0,0.0,D
52,16,86,0.0,1.0,1.0,8,63,1.0,1.0,2,1.0,1.0,0.0,2.0,4,0.0,0.0,0.0,0.0,D
53,24,77,2.0,0.0,0.0,8,96,1.0,1.0,0,1.0,1.0,0.0,1.0,3,0.0,0.0,0.0,1.0,D
54,26,67,1.0,2.0,1.0,7,51,0.0,1.0,2,2.0,2.0,1.0,1.0,4,1.0,2.0,2.0,1.0,D
55,26,88,1.0,2.0,1.0,5,79,1.0,1.0,1,0.0,2.0,1.0,2.0,4,0.0,1.0,1.0,0.0,C
56,15,83,1.0,2.0,0.0,5,89,0.0,0.0,1,1.0,2.0,0.0,1.0,2,1.0,0.0,0.0,1.0,D
57,18,94,1.0,1.0,1.0,6,87,2.0,1.0,1,1.0,1.0,0.0,2.0,4,0.0,0.0,0.0,0.0,C
58,22,65,2.0,0.0,0.0,8,82,1.0,1.0,2,1.0,2.0,0.0,2.0,1,0.0,2.0,0.0,1.0,D
59,26,91,1.0,0.0,1.0,8,71,1.0,1.0,0,0.0,1.0,1.0,1.0,3,0.0,0.0,1.0,0.0,D
60,17,87,1.0,1.0,0.0,7,96,1.0,1.0,1,2.0,1.0,0.0,0.0,5,0.0,2.0,0.0,1.0,C
61,19,65,1.0,1.0,1.0,10,66,0.0,1.0,0,0.0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,D
62,13,88,0.0,2.0,1.0,9,88,2.0,1.0,2,0.0,2.0,1.0,0.0,4,0.0,2.0,2.0,0.0,D
63,13,78,1.0,2.0,1.0,9,96,2.0,1.0,2,0.0,1.0,0.0,1.0,3,0.0,1.0,1.0,0.0,D
64,25,98,0.0,2.0,1.0,8,56,1.0,0.0,0,1.0,2.0,1.0,1.0,3,0.0,2.0,0.0,0.0,C
65,28,66,1.0,2.0,1.0,8,97,1.0,1.0,0,1.0,1.0,0.0,1.0,2,0.0,0.0,0.0,0.0,D
66,20,86,1.0,1.0,1.0,8,89,1.0,1.0,1,0.0,1.0,0.0,0.0,3,0.0,2.0,0.0,0.0,D
67,26,75,0.0,2.0,1.0,4,81,2.0,1.0,3,1.0,2.0,1.0,2.0,2,0.0,0.0,1.0,0.0,C
68,22,98,1.0,2.0,0.0,5,69,0.0,0.0,1,0.0,2.0,0.0,0.0,4,0.0,0.0,1.0,1.0,D
69,16,73,1.0,1.0,0.0,7,95,1.0,1.0,1,0.0,1.0,0.0,0.0,4,0.0,1.0,0.0,0.0,D
70,22,98,1.0,0.0,1.0,7,52,1.0,0.0,3,1.0,1.0,0.0,2.0,3,0.0,1.0,0.0,1.0,C
71,29,96,1.0,0.0,1.0,7,72,1.0,1.0,1,0.0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,C
72,20,71,1.0,1.0,1.0,7,88,1.0,1.0,1,0.0,0.0,0.0,1.0,4,0.0,1.0,0.0,1.0,D
73,29,92,0.0,1.0,0.0,4,91,1.0,1.0,2,1.0,1.0,0.0,0.0,1,0.0,2.0,0.0,1.0,C
74,4,100,2.0,2.0,1.0,8,60,2.0,1.0,0,1.0,2.0,1.0,2.0,4,0.0,1.0,1.0,0.0,D
75,25,70,1.0,1.0,0.0,7,52,1.0,1.0,1,1.0,1.0,0.0,2.0,3,0.0,2.0,0.0,1.0,D
76,21,77,0.0,1.0,1.0,7,90,1.0,1.0,4,1.0,1.0,1.0,1.0,3,0.0,2.0,1.0,0.0,D
77,18,81,2.0,0.0,1.0,8,71,1.0,1.0,0,1.0,1.0,0.0,1.0,3,0.0,0.0,1.0,1.0,D
78,21,72,1.0,1.0,1.0,5,57,1.0,1.0,1,2.0,1.0,0.0,1.0,5,1.0,1.0,1.0,0.0,D
79,8,61,1.0,1.0,1.0,7,54,1.0,1.0,1,2.0,1.0,0.0,2.0,3,0.0,1.0,0.0,0.0,D
80,19,69,1.0,2.0,1.0,7,82,2.0,1.0,1,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,D
81,22,71,2.0,1.0,0.0,6,79,2.0,1.0,1,0.0,0.0,0.0,2.0,3,0.0,0.0,0.0,0.0,D
82,29,78,2.0,2.0,1.0,4,93,0.0,1.0,5,1.0,2.0,0.0,1.0,3,0.0,1.0,0.0,0.0,C
83,17,67,1.0,1.0,1.0,5,52,2.0,1.0,2,1.0,1.0,1.0,0.0,3,0.0,0.0,2.0,1.0,D
84,15,95,1.0,1.0,0.0,7,93,1.0,1.0,2,0.0,1.0,0.0,2.0,4,0.0,1.0,1.0,0.0,C
85,17,88,1.0,2.0,1.0,7,94,0.0,1.0,0,1.0,1.0,0.0,1.0,3,0.0,0.0,0.0,0.0,D
86,25,63,1.0,2.0,1.0,7,72,1.0,1.0,3,1.0,2.0,1.0,0.0,4,0.0,1.0,2.0,0.0,D
87,22,86,0.0,0.0,0.0,6,54,1.0,1.0,2,1.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,D
88,17,86,1.0,2.0,0.0,5,97,2.0,1.0,3,2.0,1.0,0.0,1.0,3,0.0,1.0,0.0,0.0,C
89,23,98,1.0,0.0,1.0,7,54,0.0,1.0,0,1.0,1.0,0.0,0.0,3,0.0,1.0,0.0,1.0,D
90,21,60,2.0,1.0,0.0,7,80,1.0,1.0,0,1.0,2.0,0.0,1.0,4,1.0,1.0,0.0,0.0,D
91,26,70,1.0,0.0,1.0,8,75,1.0,1.0,1,1.0,0.0,1.0,1.0,4,1.0,0.0,2.0,1.0,D
92,16,97,1.0,1.0,1.0,6,92,0.0,1.0,0,2.0,1.0,1.0,2.0,4,0.0,1.0,0.0,0.0,C
93,18,97,2.0,1.0,1.0,4,75,0.0,1.0,0,0.0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,D
94,18,89,2.0,1.0,1.0,4,73,1.0,1.0,3,2.0,1.0,1.0,2.0,2,0.0,1.0,0.0,1.0,A
95,11,91,1.0,1.0,0.0,6,94,1.0,1.0,3,1.0,1.0,0.0,1.0,3,0.0,1.0,1.0,0.0,D
96,22,64,0.0,1.0,0.0,7,98,0.0,0.0,1,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,D
97,22,81,1.0,1.0,1.0,7,77,0.0,1.0,2,1.0,1.0,0.0,2.0,3,0.0,2.0,2.0,1.0,D
98,20,69,2.0,2.0,1.0,6,73,1.0,1.0,2,0.0,1.0,1.0,2.0,3,0.0,0.0,2.0,0.0,D
99,19,67,0.0,1.0,0.0,5,92,2.0,1.0,0,1.0,1.0,0.0,2.0,3,0.0,1.0,0.0,0.0,D
100,12,92,1.0,1.0,0.0,4,92,2.0,1.0,2,1.0,2.0,0.0,1.0,3,1.0,0.0,1.0,0.0,D
101,17,65,1.0,2.0,1.0,8,66,1.0,1.0,1,2.0,2.0,0.0,1.0,4,1.0,2.0,1.0,1.0,D
102,18,79,1.0,1.0,1.0,7,79,1.0,1.0,0,0.0,2.0,1.0,1.0,3,0.0,1.0,2.0,0.0,D
103,15,98,2.0,1.0,0.0,6,58,2.0,1.0,0,0.0,2.0,0.0,2.0,3,0.0,1.0,0.0,0.0,D
104,19,67,1.0,1.0,0.0,5,82,2.0,1.0,1,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,D
105,22,99,1.0,0.0,1.0,6,92,0.0,1.0,3,1.0,1.0,0.0,0.0,4,0.0,2.0,1.0,0.0,C
106,31,100,1.0,1.0,0.0,7,59,1.0,1.0,2,2.0,2.0,0.0,2.0,5,0.0,2.0,1.0,0.0,C
107,21,82,1.0,2.0,1.0,7,66,2.0,1.0,3,0.0,1.0,0.0,2.0,3,1.0,1.0,0.0,1.0,D
108,22,67,1.0,1.0,1.0,7,72,2.0,1.0,3,0.0,2.0,0.0,2.0,2,0.0,2.0,1.0,1.0,D
109,20,73,2.0,1.0,1.0,9,92,1.0,1.0,2,1.0,2.0,0.0,2.0,3,0.0,1.0,0.0,0.0,D
110,8,77,2.0,1.0,1.0,6,87,1.0,1.0,0,0.0,1.0,0.0,1.0,2,0.0,0.0,1.0,0.0,D
111,20,72,1.0,1.0,0.0,9,66,1.0,1.0,3,0.0,2.0,1.0,2.0,3,0.0,2.0,0.0,0.0,D
112,20,71,0.0,2.0,1.0,7,62,2.0,1.0,2,1.0,1.0,0.0,0.0,5,0.0,1.0,0.0,0.0,D
113,35,99,2.0,2.0,1.0,7,85,0.0,1.0,2,1.0,2.0,1.0,1.0,2,0.0,2.0,0.0,1.0,C
114,19,66,1.0,1.0,0.0,8,74,1.0,1.0,1,2.0,1.0,0.0,1.0,3,0.0,0.0,0.0,1.0,D
115,22,89,2.0,2.0,1.0,6,80,1.0,1.0,1,2.0,2.0,0.0,2.0,3,0.0,0.0,0.0,1.0,C
116,20,60,0.0,2.0,0.0,7,82,2.0,1.0,2,0.0,2.0,0.0,2.0,4,1.0,0.0,0.0,0.0,D
117,13,84,1.0,1.0,0.0,5,78,1.0,1.0,1,0.0,2.0,0.0,2.0,2,0.0,0.0,0.0,0.0,D
118,27,97,0.0,2.0,1.0,8,81,1.0,1.0,0,2.0,1.0,0.0,2.0,5,0.0,0.0,0.0,1.0,C
119,25,72,2.0,2.0,1.0,8,94,0.0,1.0,2,0.0,1.0,1.0,2.0,4,0.0,1.0,1.0,1.0,C
120,25,67,2.0,1.0,0.0,9,93,2.0,1.0,2,0.0,2.0,0.0,2.0,3,1.0,0.0,0.0,1.0,D
121,15,86,1.0,1.0,1.0,7,57,1.0,1.0,1,1.0,1.0,0.0,0.0,3,0.0,1.0,0.0,0.0,D
122,28,89,0.0,2.0,1.0,9,79,2.0,1.0,0,0.0,1.0,1.0,2.0,1,0.0,1.0,1.0,1.0,C
123,12,88,0.0,1.0,0.0,6,72,0.0,1.0,2,1.0,1.0,0.0,2.0,2,0.0,1.0,2.0,0.0,D
124,24,73,1.0,2.0,1.0,8,64,1.0,1.0,4,2.0,1.0,1.0,1.0,3,1.0,1.0,1.0,0.0,D
125,33,70,1.0,1.0,1.0,6,82,0.0,1.0,1,0.0,2.0,0.0,1.0,4,0.0,1.0,0.0,0.0,D
126,14,98,1.0,1.0,0.0,7,76,1.0,1.0,0,1.0,2.0,1.0,2.0,4,0.0,1.0,1.0,1.0,D
128,21,78,1.0,1.0,1.0,10,55,1.0,1.0,1,2.0,0.0,1.0,2.0,2,0.0,1.0,0.0,0.0,D
129,17,94,0.0,1.0,1.0,8,65,0.0,1.0,4,1.0,1.0,0.0,1.0,6,0.0,0.0,2.0,1.0,D
130,11,78,1.0,2.0,1.0,8,51,1.0,1.0,2,0.0,1.0,0.0,1.0,3,0.0,2.0,0.0,0.0,D
131,20,77,1.0,1.0,0.0,6,87,0.0,1.0,0,0.0,2.0,0.0,2.0,4,0.0,0.0,0.0,1.0,D
132,14,66,2.0,0.0,0.0,7,96,1.0,1.0,3,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0,0.0,D
133,23,77,1.0,1.0,1.0,7,79,1.0,1.0,0,0.0,2.0,0.0,1.0,2,0.0,0.0,1.0,0.0,D
134,14,81,1.0,1.0,0.0,9,81,1.0,1.0,1,0.0,2.0,1.0,0.0,3,0.0,2.0,0.0,1.0,D
135,29,61,1.0,2.0,1.0,7,52,0.0,1.0,3,0.0,1.0,1.0,2.0,3,0.0,1.0,0.0,1.0,D
136,15,78,2.0,2.0,0.0,9,75,0.0,1.0,1,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,D
137,18,91,0.0,1.0,1.0,5,76,1.0,1.0,1,1.0,1.0,0.0,1.0,3,0.0,0.0,0.0,1.0,D
138,25,87,1.0,0.0,0.0,9,52,2.0,1.0,1,0.0,2.0,1.0,2.0,2,0.0,0.0,0.0,0.0,D
139,13,85,2.0,1.0,0.0,6,89,1.0,1.0,0,2.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,D
140,21,96,1.0,1.0,0.0,8,64,2.0,1.0,2,1.0,2.0,0.0,1.0,0,0.0,1.0,0.0,0.0,C
141,28,61,1.0,2.0,0.0,6,86,2.0,1.0,1,0.0,1.0,1.0,0.0,3,1.0,2.0,2.0,0.0,D
142,10,82,1.0,0.0,0.0,8,70,1.0,1.0,3,0.0,2.0,0.0,2.0,1,1.0,2.0,0.0,1.0,D
143,21,91,2.0,1.0,0.0,6,100,1.0,1.0,0,2.0,1.0,1.0,1.0,2,0.0,2.0,0.0,1.0,C
144,22,82,1.0,1.0,0.0,9,61,1.0,1.0,2,0.0,1.0,0.0,0.0,2,1.0,0.0,0.0,1.0,D
145,25,73,1.0,2.0,0.0,8,53,2.0,0.0,0,0.0,2.0,1.0,0.0,5,0.0,2.0,0.0,1.0,D
146,13,65,0.0,2.0,0.0,6,99,1.0,1.0,0,0.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,D
147,12,96,0.0,2.0,1.0,8,62,1.0,1.0,2,1.0,2.0,0.0,0.0,3,0.0,1.0,0.0,1.0,D
148,23,79,2.0,2.0,1.0,8,82,0.0,1.0,3,1.0,1.0,0.0,0.0,3,1.0,2.0,1.0,1.0,D
149,22,95,1.0,2.0,1.0,6,69,1.0,1.0,1,0.0,1.0,0.0,2.0,3,0.0,1.0,0.0,1.0,C
150,22,83,1.0,2.0,1.0,5,82,1.0,1.0,2,0.0,2.0,0.0,2.0,3,0.0,2.0,0.0,1.0,C
151,22,87,2.0,2.0,0.0,5,80,0.0,1.0,2,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0,1.0,C
152,16,92,1.0,2.0,1.0,5,85,0.0,1.0,1,0.0,1.0,0.0,1.0,2,0.0,0.0,1.0,0.0,D
153,21,86,0.0,1.0,1.0,5,51,1.0,1.0,2,0.0,2.0,0.0,2.0,2,0.0,0.0,1.0,1.0,D
154,22,76,1.0,1.0,1.0,8,92,1.0,1.0,1,0.0,2.0,0.0,1.0,4,0.0,0.0,0.0,1.0,D
155,16,81,1.0,1.0,1.0,8,74,1.0,1.0,3,1.0,1.0,0.0,2.0,2,0.0,2.0,0.0,1.0,D
156,31,92,1.0,1.0,1.0,4,76,1.0,1.0,2,1.0,2.0,0.0,2.0,4,1.0,0.0,2.0,0.0,C
157,23,75,0.0,2.0,0.0,6,71,0.0,1.0,0,1.0,1.0,0.0,1.0,2,0.0,1.0,0.0,0.0,D
158,13,76,1.0,2.0,0.0,5,99,0.0,1.0,2,1.0,1.0,1.0,2.0,4,0.0,0.0,0.0,1.0,D
159,24,64,1.0,1.0,1.0,8,90,2.0,1.0,0,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0,0.0,D
160,14,97,1.0,1.0,1.0,6,66,1.0,1.0,2,1.0,1.0,0.0,0.0,3,1.0,1.0,0.0,1.0,D
161,25,64,1.0,2.0,0.0,5,89,0.0,1.0,2,1.0,1.0,0.0,1.0,4,0.0,1.0,2.0,0.0,D
162,27,86,1.0,1.0,0.0,7,72,0.0,1.0,1,1.0,2.0,0.0,2.0,4,0.0,0.0,2.0,0.0,D
163,15,77,1.0,1.0,1.0,8,94,0.0,1.0,0,2.0,2.0,0.0,2.0,3,0.0,1.0,1.0,0.0,D
164,26,76,1.0,2.0,1.0,6,52,1.0,1.0,4,2.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,D
165,22,87,2.0,0.0,1.0,7,68,1.0,0.0,0,0.0,1.0,0.0,1.0,2,0.0,0.0,0.0,0.0,D
166,25,63,2.0,1.0,1.0,6,71,1.0,1.0,1,1.0,0.0,1.0,2.0,3,0.0,0.0,0.0,0.0,D
167,31,84,1.0,1.0,1.0,9,87,1.0,1.0,2,0.0,1.0,1.0,1.0,3,0.0,1.0,2.0,0.0,C
168,19,91,2.0,0.0,0.0,6,59,1.0,1.0,5,1.0,2.0,0.0,1.0,4,0.0,1.0,1.0,0.0,C
169,15,93,2.0,1.0,0.0,6,64,1.0,1.0,2,1.0,2.0,0.0,2.0,4,0.0,2.0,0.0,0.0,C
170,15,67,1.0,1.0,1.0,7,86,2.0,1.0,1,2.0,1.0,1.0,2.0,3,0.0,2.0,0.0,0.0,D
171,15,96,1.0,1.0,0.0,7,54,2.0,0.0,3,1.0,2.0,0.0,0.0,2,0.0,0.0,0.0,0.0,D
172,20,86,2.0,0.0,0.0,8,60,1.0,1.0,1,1.0,1.0,0.0,1.0,4,1.0,1.0,2.0,1.0,D
173,22,95,1.0,2.0,0.0,9,88,0.0,1.0,0,0.0,2.0,0.0,2.0,2,0.0,2.0,0.0,0.0,C
174,22,79,1.0,1.0,0.0,9,94,1.0,1.0,1,1.0,1.0,0.0,2.0,3,0.0,0.0,0.0,0.0,D
175,25,82,1.0,1.0,0.0,6,86,1.0,0.0,3,0.0,2.0,0.0,2.0,3,0.0,0.0,0.0,1.0,D
176,20,97,1.0,1.0,1.0,7,76,0.0,1.0,2,0.0,0.0,1.0,2.0,3,0.0,2.0,0.0,0.0,C
177,29,96,1.0,1.0,1.0,9,55,0.0,0.0,0,1.0,1.0,0.0,1.0,2,0.0,2.0,2.0,1.0,C
178,18,78,1.0,1.0,0.0,9,91,2.0,1.0,2,2.0,0.0,0.0,1.0,4,0.0,1.0,2.0,1.0,D
179,36,71,1.0,1.0,1.0,6,56,1.0,1.0,2,2.0,1.0,0.0,2.0,2,0.0,0.0,2.0,0.0,D
180,24,76,0.0,2.0,0.0,8,69,0.0,1.0,2,1.0,1.0,0.0,1.0,1,0.0,0.0,1.0,0.0,D
181,15,76,2.0,2.0,0.0,8,53,1.0,1.0,1,0.0,1.0,0.0,1.0,4,0.0,1.0,0.0,0.0,D
182,14,71,1.0,1.0,1.0,8,85,0.0,1.0,2,1.0,2.0,0.0,1.0,4,0.0,0.0,0.0,0.0,D
183,23,71,0.0,0.0,1.0,9,75,0.0,1.0,1,0.0,1.0,0.0,0.0,2,0.0,1.0,0.0,0.0,D
184,19,94,0.0,1.0,1.0,5,95,1.0,1.0,3,0.0,0.0,0.0,2.0,2,0.0,0.0,1.0,0.0,D
185,24,63,1.0,0.0,1.0,6,57,1.0,1.0,1,0.0,2.0,1.0,1.0,5,0.0,1.0,0.0,1.0,D
186,23,87,2.0,2.0,1.0,8,91,2.0,1.0,0,2.0,1.0,1.0,2.0,3,0.0,0.0,1.0,0.0,C
187,20,67,0.0,1.0,1.0,7,76,1.0,1.0,0,1.0,1.0,0.0,1.0,4,0.0,0.0,0.0,0.0,D
188,15,74,0.0,2.0,1.0,4,68,0.0,1.0,3,0.0,1.0,0.0,2.0,3,0.0,0.0,0.0,1.0,D
189,11,62,1.0,2.0,1.0,5,82,1.0,1.0,3,2.0,1.0,1.0,1.0,4,0.0,1.0,1.0,0.0,D
190,17,71,1.0,1.0,1.0,8,90,1.0,1.0,5,1.0,1.0,0.0,2.0,1,0.0,2.0,2.0,0.0,D
191,25,91,1.0,1.0,0.0,8,72,0.0,1.0,2,1.0,2.0,0.0,2.0,0,0.0,2.0,0.0,0.0,C
192,21,95,1.0,1.0,0.0,5,62,2.0,1.0,1,1.0,0.0,0.0,2.0,4,0.0,0.0,0.0,0.0,C
193,13,69,1.0,0.0,1.0,9,96,0.0,1.0,0,2.0,1.0,1.0,1.0,4,0.0,0.0,2.0,1.0,D
194,21,79,1.0,2.0,1.0,7,66,0.0,1.0,2,0.0,1.0,0.0,0.0,4,0.0,1.0,1.0,0.0,D
195,22,79,2.0,1.0,0.0,5,100,1.0,1.0,4,2.0,2.0,0.0,0.0,3,0.0,1.0,0.0,0.0,C
196,15,95,0.0,0.0,1.0,6,88,0.0,1.0,1,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,D
197,21,91,1.0,2.0,1.0,5,84,1.0,1.0,1,2.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,C
198,20,81,2.0,1.0,1.0,6,51,2.0,0.0,3,1.0,1.0,0.0,1.0,4,1.0,0.0,0.0,0.0,D
199,13,87,2.0,0.0,1.0,4,72,1.0,1.0,2,1.0,2.0,0.0,1.0,3,0.0,0.0,1.0,1.0,D
200,22,94,0.0,1.0,1.0,7,75,2.0,1.0,2,2.0,1.0,0.0,1.0,2,0.0,1.0,0.0,1.0,C
201,23,60,2.0,1.0,1.0,8,69,1.0,1.0,1,0.0,1.0,1.0,2.0,4,0.0,1.0,0.0,0.0,D
202,26,76,1.0,1.0,1.0,5,57,1.0,1.0,1,1.0,1.0,0.0,2.0,4,0.0,0.0,0.0,0.0,D
