Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
16,83,0.0,1.0,0.0,6,57,1.0,1.0,0,2.0,0.0,0.0,2.0,4,1.0,0.0,0.0,1.0,D
31,70,1.0,2.0,1.0,7,66,1.0,1.0,1,2.0,1.0,0.0,0.0,3,0.0,1.0,0.0,0.0,D
20,69,1.0,1.0,1.0,8,96,1.0,1.0,2,1.0,2.0,0.0,2.0,3,0.0,0.0,0.0,0.0,D
25,65,2.0,1.0,0.0,5,90,1.0,1.0,2,1.0,1.0,0.0,2.0,3,0.0,1.0,1.0,1.0,D
13,72,0.0,1.0,0.0,6,93,0.0,1.0,1,0.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,D
21,65,1.0,0.0,1.0,7,91,0.0,1.0,2,1.0,2.0,0.0,2.0,3,0.0,0.0,2.0,1.0,D
8,99,1.0,1.0,0.0,9,54,0.0,1.0,2,0.0,1.0,0.0,1.0,5,0.0,2.0,0.0,1.0,D
12,72,0.0,1.0,1.0,8,84,1.0,1.0,1,0.0,1.0,0.0,2.0,5,0.0,0.0,0.0,1.0,D
21,65,0.0,1.0,1.0,6,98,0.0,1.0,1,1.0,2.0,0.0,0.0,4,0.0,0.0,0.0,0.0,D
24,68,2.0,1.0,0.0,8,56,0.0,1.0,3,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,0.0,D
21,84,1.0,1.0,1.0,6,52,0.0,1.0,1,1.0,2.0,0.0,1.0,2,1.0,1.0,2.0,1.0,D
19,63,0.0,2.0,0.0,7,94,1.0,1.0,1,1.0,1.0,1.0,2.0,3,0.0,0.0,1.0,0.0,D
18,94,1.0,2.0,1.0,7,82,1.0,1.0,3,1.0,1.0,1.0,0.0,2,1.0,1.0,0.0,0.0,C
11,98,1.0,1.0,1.0,9,82,0.0,1.0,1,1.0,1.0,1.0,2.0,3,0.0,2.0,2.0,0.0,D
16,70,1.0,1.0,1.0,8,98,1.0,1.0,2,1.0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,D
17,78,1.0,1.0,1.0,6,88,1.0,1.0,1,1.0,2.0,1.0,2.0,3,0.0,1.0,0.0,1.0,D
26,61,1.0,0.0,1.0,6,70,1.0,1.0,2,0.0,1.0,0.0,2.0,3,0.0,0.0,1.0,1.0,D
22,86,0.0,1.0,1.0,7,72,0.0,1.0,3,0.0,2.0,0.0,2.0,2,0.0,0.0,1.0,0.0,D
9,77,1.0,1.0,0.0,5,57,1.0,1.0,2,1.0,2.0,0.0,1.0,3,0.0,0.0,0.0,0.0,D
22,71,0.0,1.0,1.0,7,65,0.0,1.0,1,1.0,0.0,0.0,2.0,4,0.0,1.0,1.0,0.0,D
18,68,2.0,1.0,0.0,7,72,1.0,1.0,0,1.0,1.0,0.0,1.0,3,0.0,1.0,0.0,0.0,D
16,86,0.0,1.0,1.0,8,63,1.0,1.0,2,1.0,1.0,0.0,2.0,4,0.0,0.0,0.0,0.0,D
24,77,2.0,0.0,0.0,8,96,1.0,1.0,0,1.0,1.0,0.0,1.0,3,0.0,0.0,0.0,1.0,D
26,67,1.0,2.0,1.0,7,51,0.0,1.0,2,2.0,2.0,1.0,1.0,4,1.0,2.0,2.0,1.0,D
26,88,1.0,2.0,1.0,5,79,1.0,1.0,1,0.0,2.0,1.0,2.0,4,0.0,1.0,1.0,0.0,C
15,83,1.0,2.0,0.0,5,89,0.0,0.0,1,1.0,2.0,0.0,1.0,2,1.0,0.0,0.0,1.0,D
18,94,1.0,1.0,1.0,6,87,2.0,1.0,1,1.0,1.0,0.0,2.0,4,0.0,0.0,0.0,0.0,C
22,65,2.0,0.0,0.0,8,82,1.0,1.0,2,1.0,2.0,0.0,2.0,1,0.0,2.0,0.0,1.0,D
26,91,1.0,0.0,1.0,8,71,1.0,1.0,0,0.0,1.0,1.0,1.0,3,0.0,0.0,1.0,0.0,D
17,87,1.0,1.0,0.0,7,96,1.0,1.0,1,2.0,1.0,0.0,0.0,5,0.0,2.0,0.0,1.0,C
19,65,1.0,1.0,1.0,10,66,0.0,1.0,0,0.0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,D
13,88,0.0,2.0,1.0,9,88,2.0,1.0,2,0.0,2.0,1.0,0.0,4,0.0,2.0,2.0,0.0,D
13,78,1.0,2.0,1.0,9,96,2.0,1.0,2,0.0,1.0,0.0,1.0,3,0.0,1.0,1.0,0.0,D
25,98,0.0,2.0,1.0,8,56,1.0,0.0,0,1.0,2.0,1.0,1.0,3,0.0,2.0,0.0,0.0,C
28,66,1.0,2.0,1.0,8,97,1.0,1.0,0,1.0,1.0,0.0,1.0,2,0.0,0.0,0.0,0.0,D
20,86,1.0,1.0,1.0,8,89,1.0,1.0,1,0.0,1.0,0.0,0.0,3,0.0,2.0,0.0,0.0,D
26,75,0.0,2.0,1.0,4,81,2.0,1.0,3,1.0,2.0,1.0,2.0,2,0.0,0.0,1.0,0.0,C
22,98,1.0,2.0,0.0,5,69,0.0,0.0,1,0.0,2.0,0.0,0.0,4,0.0,0.0,1.0,1.0,D
16,73,1.0,1.0,0.0,7,95,1.0,1.0,1,0.0,1.0,0.0,0.0,4,0.0,1.0,0.0,0.0,D
22,98,1.0,0.0,1.0,7,52,1.0,0.0,3,1.0,1.0,0.0,2.0,3,0.0,1.0,0.0,1.0,C
29,96,1.0,0.0,1.0,7,72,1.0,1.0,1,0.0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,C
20,71,1.0,1.0,1.0,7,88,1.0,1.0,1,0.0,0.0,0.0,1.0,4,0.0,1.0,0.0,1.0,D
29,92,0.0,1.0,0.0,4,91,1.0,1.0,2,1.0,1.0,0.0,0.0,1,0.0,2.0,0.0,1.0,C
4,100,2.0,2.0,1.0,8,60,2.0,1.0,0,1.0,2.0,1.0,2.0,4,0.0,1.0,1.0,0.0,D
25,70,1.0,1.0,0.0,7,52,1.0,1.0,1,1.0,1.0,0.0,2.0,3,0.0,2.0,0.0,1.0,D
21,77,0.0,1.0,1.0,7,90,1.0,1.0,4,1.0,1.0,1.0,1.0,3,0.0,2.0,1.0,0.0,D
18,81,2.0,0.0,1.0,8,71,1.0,1.0,0,1.0,1.0,0.0,1.0,3,0.0,0.0,1.0,1.0,D
21,72,1.0,1.0,1.0,5,57,1.0,1.0,1,2.0,1.0,0.0,1.0,5,1.0,1.0,1.0,0.0,D
8,61,1.0,1.0,1.0,7,54,1.0,1.0,1,2.0,1.0,0.0,2.0,3,0.0,1.0,0.0,0.0,D
19,69,1.0,2.0,1.0,7,82,2.0,1.0,1,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,D
22,71,2.0,1.0,0.0,6,79,2.0,1.0,1,0.0,0.0,0.0,2.0,3,0.0,0.0,0.0,0.0,D
29,78,2.0,2.0,1.0,4,93,0.0,1.0,5,1.0,2.0,0.0,1.0,3,0.0,1.0,0.0,0.0,C
17,67,1.0,1.0,1.0,5,52,2.0,1.0,2,1.0,1.0,1.0,0.0,3,0.0,0.0,2.0,1.0,D
15,95,1.0,1.0,0.0,7,93,1.0,1.0,2,0.0,1.0,0.0,2.0,4,0.0,1.0,1.0,0.0,C
17,88,1.0,2.0,1.0,7,94,0.0,1.0,0,1.0,1.0,0.0,1.0,3,0.0,0.0,0.0,0.0,D
25,63,1.0,2.0,1.0,7,72,1.0,1.0,3,1.0,2.0,1.0,0.0,4,0.0,1.0,2.0,0.0,D
22,86,0.0,0.0,0.0,6,54,1.0,1.0,2,1.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,D
17,86,1.0,2.0,0.0,5,97,2.0,1.0,3,2.0,1.0,0.0,1.0,3,0.0,1.0,0.0,0.0,C
23,98,1.0,0.0,1.0,7,54,0.0,1.0,0,1.0,1.0,0.0,0.0,3,0.0,1.0,0.0,1.0,D
21,60,2.0,1.0,0.0,7,80,1.0,1.0,0,1.0,2.0,0.0,1.0,4,1.0,1.0,0.0,0.0,D
26,70,1.0,0.0,1.0,8,75,1.0,1.0,1,1.0,0.0,1.0,1.0,4,1.0,0.0,2.0,1.0,D
16,97,1.0,1.0,1.0,6,92,0.0,1.0,0,2.0,1.0,1.0,2.0,4,0.0,1.0,0.0,0.0,C
18,97,2.0,1.0,1.0,4,75,0.0,1.0,0,0.0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,D
18,89,2.0,1.0,1.0,4,73,1.0,1.0,3,2.0,1.0,1.0,2.0,2,0.0,1.0,0.0,1.0,A
11,91,1.0,1.0,0.0,6,94,1.0,1.0,3,1.0,1.0,0.0,1.0,3,0.0,1.0,1.0,0.0,D
22,64,0.0,1.0,0.0,7,98,0.0,0.0,1,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,D
22,81,1.0,1.0,1.0,7,77,0.0,1.0,2,1.0,1.0,0.0,2.0,3,0.0,2.0,2.0,1.0,D
20,69,2.0,2.0,1.0,6,73,1.0,1.0,2,0.0,1.0,1.0,2.0,3,0.0,0.0,2.0,0.0,D
19,67,0.0,1.0,0.0,5,92,2.0,1.0,0,1.0,1.0,0.0,2.0,3,0.0,1.0,0.0,0.0,D
12,92,1.0,1.0,0.0,4,92,2.0,1.0,2,1.0,2.0,0.0,1.0,3,1.0,0.0,1.0,0.0,D
17,65,1.0,2.0,1.0,8,66,1.0,1.0,1,2.0,2.0,0.0,1.0,4,1.0,2.0,1.0,1.0,D
18,79,1.0,1.0,1.0,7,79,1.0,1.0,0,0.0,2.0,1.0,1.0,3,0.0,1.0,2.0,0.0,D
15,98,2.0,1.0,0.0,6,58,2.0,1.0,0,0.0,2.0,0.0,2.0,3,0.0,1.0,0.0,0.0,D
19,67,1.0,1.0,0.0,5,82,2.0,1.0,1,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,D
22,99,1.0,0.0,1.0,6,92,0.0,1.0,3,1.0,1.0,0.0,0.0,4,0.0,2.0,1.0,0.0,C
31,100,1.0,1.0,0.0,7,59,1.0,1.0,2,2.0,2.0,0.0,2.0,5,0.0,2.0,1.0,0.0,C
21,82,1.0,2.0,1.0,7,66,2.0,1.0,3,0.0,1.0,0.0,2.0,3,1.0,1.0,0.0,1.0,D
22,67,1.0,1.0,1.0,7,72,2.0,1.0,3,0.0,2.0,0.0,2.0,2,0.0,2.0,1.0,1.0,D
20,73,2.0,1.0,1.0,9,92,1.0,1.0,2,1.0,2.0,0.0,2.0,3,0.0,1.0,0.0,0.0,D
8,77,2.0,1.0,1.0,6,87,1.0,1.0,0,0.0,1.0,0.0,1.0,2,0.0,0.0,1.0,0.0,D
20,72,1.0,1.0,0.0,9,66,1.0,1.0,3,0.0,2.0,1.0,2.0,3,0.0,2.0,0.0,0.0,D
20,71,0.0,2.0,1.0,7,62,2.0,1.0,2,1.0,1.0,0.0,0.0,5,0.0,1.0,0.0,0.0,D
35,99,2.0,2.0,1.0,7,85,0.0,1.0,2,1.0,2.0,1.0,1.0,2,0.0,2.0,0.0,1.0,C
19,66,1.0,1.0,0.0,8,74,1.0,1.0,1,2.0,1.0,0.0,1.0,3,0.0,0.0,0.0,1.0,D
22,89,2.0,2.0,1.0,6,80,1.0,1.0,1,2.0,2.0,0.0,2.0,3,0.0,0.0,0.0,1.0,C
20,60,0.0,2.0,0.0,7,82,2.0,1.0,2,0.0,2.0,0.0,2.0,4,1.0,0.0,0.0,0.0,D
13,84,1.0,1.0,0.0,5,78,1.0,1.0,1,0.0,2.0,0.0,2.0,2,0.0,0.0,0.0,0.0,D
27,97,0.0,2.0,1.0,8,81,1.0,1.0,0,2.0,1.0,0.0,2.0,5,0.0,0.0,0.0,1.0,C
25,72,2.0,2.0,1.0,8,94,0.0,1.0,2,0.0,1.0,1.0,2.0,4,0.0,1.0,1.0,1.0,C
25,67,2.0,1.0,0.0,9,93,2.0,1.0,2,0.0,2.0,0.0,2.0,3,1.0,0.0,0.0,1.0,D
15,86,1.0,1.0,1.0,7,57,1.0,1.0,1,1.0,1.0,0.0,0.0,3,0.0,1.0,0.0,0.0,D
28,89,0.0,2.0,1.0,9,79,2.0,1.0,0,0.0,1.0,1.0,2.0,1,0.0,1.0,1.0,1.0,C
12,88,0.0,1.0,0.0,6,72,0.0,1.0,2,1.0,1.0,0.0,2.0,2,0.0,1.0,2.0,0.0,D
24,73,1.0,2.0,1.0,8,64,1.0,1.0,4,2.0,1.0,1.0,1.0,3,1.0,1.0,1.0,0.0,D
33,70,1.0,1.0,1.0,6,82,0.0,1.0,1,0.0,2.0,0.0,1.0,4,0.0,1.0,0.0,0.0,D
14,98,1.0,1.0,0.0,7,76,1.0,1.0,0,1.0,2.0,1.0,2.0,4,0.0,1.0,1.0,1.0,D
21,78,1.0,1.0,1.0,10,55,1.0,1.0,1,2.0,0.0,1.0,2.0,2,0.0,1.0,0.0,0.0,D
17,94,0.0,1.0,1.0,8,65,0.0,1.0,4,1.0,1.0,0.0,1.0,6,0.0,0.0,2.0,1.0,D
11,78,1.0,2.0,1.0,8,51,1.0,1.0,2,0.0,1.0,0.0,1.0,3,0.0,2.0,0.0,0.0,D
20,77,1.0,1.0,0.0,6,87,0.0,1.0,0,0.0,2.0,0.0,2.0,4,0.0,0.0,0.0,1.0,D
14,66,2.0,0.0,0.0,7,96,1.0,1.0,3,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0,0.0,D
23,77,1.0,1.0,1.0,7,79,1.0,1.0,0,0.0,2.0,0.0,1.0,2,0.0,0.0,1.0,0.0,D
14,81,1.0,1.0,0.0,9,81,1.0,1.0,1,0.0,2.0,1.0,0.0,3,0.0,2.0,0.0,1.0,D
29,61,1.0,2.0,1.0,7,52,0.0,1.0,3,0.0,1.0,1.0,2.0,3,0.0,1.0,0.0,1.0,D
15,78,2.0,2.0,0.0,9,75,0.0,1.0,1,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,D
18,91,0.0,1.0,1.0,5,76,1.0,1.0,1,1.0,1.0,0.0,1.0,3,0.0,0.0,0.0,1.0,D
25,87,1.0,0.0,0.0,9,52,2.0,1.0,1,0.0,2.0,1.0,2.0,2,0.0,0.0,0.0,0.0,D
13,85,2.0,1.0,0.0,6,89,1.0,1.0,0,2.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,D
21,96,1.0,1.0,0.0,8,64,2.0,1.0,2,1.0,2.0,0.0,1.0,0,0.0,1.0,0.0,0.0,C
28,61,1.0,2.0,0.0,6,86,2.0,1.0,1,0.0,1.0,1.0,0.0,3,1.0,2.0,2.0,0.0,D
10,82,1.0,0.0,0.0,8,70,1.0,1.0,3,0.0,2.0,0.0,2.0,1,1.0,2.0,0.0,1.0,D
21,91,2.0,1.0,0.0,6,100,1.0,1.0,0,2.0,1.0,1.0,1.0,2,0.0,2.0,0.0,1.0,C
22,82,1.0,1.0,0.0,9,61,1.0,1.0,2,0.0,1.0,0.0,0.0,2,1.0,0.0,0.0,1.0,D
25,73,1.0,2.0,0.0,8,53,2.0,0.0,0,0.0,2.0,1.0,0.0,5,0.0,2.0,0.0,1.0,D
13,65,0.0,2.0,0.0,6,99,1.0,1.0,0,0.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,D
12,96,0.0,2.0,1.0,8,62,1.0,1.0,2,1.0,2.0,0.0,0.0,3,0.0,1.0,0.0,1.0,D
23,79,2.0,2.0,1.0,8,82,0.0,1.0,3,1.0,1.0,0.0,0.0,3,1.0,2.0,1.0,1.0,D
22,95,1.0,2.0,1.0,6,69,1.0,1.0,1,0.0,1.0,0.0,2.0,3,0.0,1.0,0.0,1.0,C
22,83,1.0,2.0,1.0,5,82,1.0,1.0,2,0.0,2.0,0.0,2.0,3,0.0,2.0,0.0,1.0,C
22,87,2.0,2.0,0.0,5,80,0.0,1.0,2,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0,1.0,C
16,92,1.0,2.0,1.0,5,85,0.0,1.0,1,0.0,1.0,0.0,1.0,2,0.0,0.0,1.0,0.0,D
21,86,0.0,1.0,1.0,5,51,1.0,1.0,2,0.0,2.0,0.0,2.0,2,0.0,0.0,1.0,1.0,D
22,76,1.0,1.0,1.0,8,92,1.0,1.0,1,0.0,2.0,0.0,1.0,4,0.0,0.0,0.0,1.0,D
16,81,1.0,1.0,1.0,8,74,1.0,1.0,3,1.0,1.0,0.0,2.0,2,0.0,2.0,0.0,1.0,D
31,92,1.0,1.0,1.0,4,76,1.0,1.0,2,1.0,2.0,0.0,2.0,4,1.0,0.0,2.0,0.0,C
23,75,0.0,2.0,0.0,6,71,0.0,1.0,0,1.0,1.0,0.0,1.0,2,0.0,1.0,0.0,0.0,D
13,76,1.0,2.0,0.0,5,99,0.0,1.0,2,1.0,1.0,1.0,2.0,4,0.0,0.0,0.0,1.0,D
24,64,1.0,1.0,1.0,8,90,2.0,1.0,0,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0,0.0,D
14,97,1.0,1.0,1.0,6,66,1.0,1.0,2,1.0,1.0,0.0,0.0,3,1.0,1.0,0.0,1.0,D
25,64,1.0,2.0,0.0,5,89,0.0,1.0,2,1.0,1.0,0.0,1.0,4,0.0,1.0,2.0,0.0,D
27,86,1.0,1.0,0.0,7,72,0.0,1.0,1,1.0,2.0,0.0,2.0,4,0.0,0.0,2.0,0.0,D
15,77,1.0,1.0,1.0,8,94,0.0,1.0,0,2.0,2.0,0.0,2.0,3,0.0,1.0,1.0,0.0,D
26,76,1.0,2.0,1.0,6,52,1.0,1.0,4,2.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,D
22,87,2.0,0.0,1.0,7,68,1.0,0.0,0,0.0,1.0,0.0,1.0,2,0.0,0.0,0.0,0.0,D
25,63,2.0,1.0,1.0,6,71,1.0,1.0,1,1.0,0.0,1.0,2.0,3,0.0,0.0,0.0,0.0,D
31,84,1.0,1.0,1.0,9,87,1.0,1.0,2,0.0,1.0,1.0,1.0,3,0.0,1.0,2.0,0.0,C
19,91,2.0,0.0,0.0,6,59,1.0,1.0,5,1.0,2.0,0.0,1.0,4,0.0,1.0,1.0,0.0,C
15,93,2.0,1.0,0.0,6,64,1.0,1.0,2,1.0,2.0,0.0,2.0,4,0.0,2.0,0.0,0.0,C
15,67,1.0,1.0,1.0,7,86,2.0,1.0,1,2.0,1.0,1.0,2.0,3,0.0,2.0,0.0,0.0,D
15,96,1.0,1.0,0.0,7,54,2.0,0.0,3,1.0,2.0,0.0,0.0,2,0.0,0.0,0.0,0.0,D
20,86,2.0,0.0,0.0,8,60,1.0,1.0,1,1.0,1.0,0.0,1.0,4,1.0,1.0,2.0,1.0,D
22,95,1.0,2.0,0.0,9,88,0.0,1.0,0,0.0,2.0,0.0,2.0,2,0.0,2.0,0.0,0.0,C
22,79,1.0,1.0,0.0,9,94,1.0,1.0,1,1.0,1.0,0.0,2.0,3,0.0,0.0,0.0,0.0,D
25,82,1.0,1.0,0.0,6,86,1.0,0.0,3,0.0,2.0,0.0,2.0,3,0.0,0.0,0.0,1.0,D
20,97,1.0,1.0,1.0,7,76,0.0,1.0,2,0.0,0.0,1.0,2.0,3,0.0,2.0,0.0,0.0,C
29,96,1.0,1.0,1.0,9,55,0.0,0.0,0,1.0,1.0,0.0,1.0,2,0.0,2.0,2.0,1.0,C
18,78,1.0,1.0,0.0,9,91,2.0,1.0,2,2.0,0.0,0.0,1.0,4,0.0,1.0,2.0,1.0,D
36,71,1.0,1.0,1.0,6,56,1.0,1.0,2,2.0,1.0,0.0,2.0,2,0.0,0.0,2.0,0.0,D
24,76,0.0,2.0,0.0,8,69,0.0,1.0,2,1.0,1.0,0.0,1.0,1,0.0,0.0,1.0,0.0,D
15,76,2.0,2.0,0.0,8,53,1.0,1.0,1,0.0,1.0,0.0,1.0,4,0.0,1.0,0.0,0.0,D
14,71,1.0,1.0,1.0,8,85,0.0,1.0,2,1.0,2.0,0.0,1.0,4,0.0,0.0,0.0,0.0,D
23,71,0.0,0.0,1.0,9,75,0.0,1.0,1,0.0,1.0,0.0,0.0,2,0.0,1.0,0.0,0.0,D
19,94,0.0,1.0,1.0,5,95,1.0,1.0,3,0.0,0.0,0.0,2.0,2,0.0,0.0,1.0,0.0,D
24,63,1.0,0.0,1.0,6,57,1.0,1.0,1,0.0,2.0,1.0,1.0,5,0.0,1.0,0.0,1.0,D
23,87,2.0,2.0,1.0,8,91,2.0,1.0,0,2.0,1.0,1.0,2.0,3,0.0,0.0,1.0,0.0,C
20,67,0.0,1.0,1.0,7,76,1.0,1.0,0,1.0,1.0,0.0,1.0,4,0.0,0.0,0.0,0.0,D
15,74,0.0,2.0,1.0,4,68,0.0,1.0,3,0.0,1.0,0.0,2.0,3,0.0,0.0,0.0,1.0,D
11,62,1.0,2.0,1.0,5,82,1.0,1.0,3,2.0,1.0,1.0,1.0,4,0.0,1.0,1.0,0.0,D
17,71,1.0,1.0,1.0,8,90,1.0,1.0,5,1.0,1.0,0.0,2.0,1,0.0,2.0,2.0,0.0,D
25,91,1.0,1.0,0.0,8,72,0.0,1.0,2,1.0,2.0,0.0,2.0,0,0.0,2.0,0.0,0.0,C
21,95,1.0,1.0,0.0,5,62,2.0,1.0,1,1.0,0.0,0.0,2.0,4,0.0,0.0,0.0,0.0,C
13,69,1.0,0.0,1.0,9,96,0.0,1.0,0,2.0,1.0,1.0,1.0,4,0.0,0.0,2.0,1.0,D
21,79,1.0,2.0,1.0,7,66,0.0,1.0,2,0.0,1.0,0.0,0.0,4,0.0,1.0,1.0,0.0,D
22,79,2.0,1.0,0.0,5,100,1.0,1.0,4,2.0,2.0,0.0,0.0,3,0.0,1.0,0.0,0.0,C
15,95,0.0,0.0,1.0,6,88,0.0,1.0,1,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,D
21,91,1.0,2.0,1.0,5,84,1.0,1.0,1,2.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,C
20,81,2.0,1.0,1.0,6,51,2.0,0.0,3,1.0,1.0,0.0,1.0,4,1.0,0.0,0.0,0.0,D
13,87,2.0,0.0,1.0,4,72,1.0,1.0,2,1.0,2.0,0.0,1.0,3,0.0,0.0,1.0,1.0,D
22,94,0.0,1.0,1.0,7,75,2.0,1.0,2,2.0,1.0,0.0,1.0,2,0.0,1.0,0.0,1.0,C
23,60,2.0,1.0,1.0,8,69,1.0,1.0,1,0.0,1.0,1.0,2.0,4,0.0,1.0,0.0,0.0,D
26,76,1.0,1.0,1.0,5,57,1.0,1.0,1,1.0,1.0,0.0,2.0,4,0.0,0.0,0.0,0.0,D
26,96,1.0,1.0,1.0,7,68,1.0,1.0,3,2.0,1.0,1.0,2.0,3,0.0,1.0,0.0,1.0,C
12,90,1.0,0.0,1.0,6,54,1.0,0.0,1,2.0,1.0,0.0,1.0,3,0.0,0.0,0.0,0.0,D
14,82,1.0,1.0,0.0,8,65,1.0,1.0,1,0.0,1.0,1.0,2.0,3,0.0,1.0,0.0,0.0,D
23,81,0.0,1.0,1.0,4,54,1.0,1.0,1,0.0,1.0,0.0,1.0,3,0.0,1.0,0.0,0.0,D
23,74,1.0,2.0,1.0,8,88,0.0,1.0,0,1.0,2.0,0.0,0.0,3,1.0,0.0,0.0,0.0,D
23,81,1.0,0.0,0.0,4,84,1.0,1.0,2,1.0,1.0,0.0,2.0,5,0.0,0.0,0.0,0.0,D
